rn,final id,id,species,site,specimen.date,wing,trial,pixel to mm2,L.R,flip?,notes,length
914,KEB_00569,569,melissodes denticulatus,r,7/26/2019,2,2,0.016,r,y,,2.02992
915,KEB_00574,574,melissodes denticulatus,r,7/26/2019,1,1,0.01,l,n,,1.966375
916,KEB_00574,574,melissodes denticulatus,r,7/26/2019,1,2,0.01,l,n,,1.966375
917,KEB_00574,574,melissodes denticulatus,r,7/26/2019,2,1,0.01,r,y,,1.966375
918,KEB_00574,574,melissodes denticulatus,r,7/26/2019,2,2,0.01,r,y,,1.966375
919,KEB_00593,593,melissodes denticulatus,r,7/29/2019,1,1,0.013,l,n,,2.11081
920,KEB_00593,593,melissodes denticulatus,r,7/29/2019,1,2,0.013,l,n,,2.11081
921,KEB_00593,593,melissodes denticulatus,r,7/29/2019,2,1,0.013,r,n,,2.11081
922,KEB_00593,593,melissodes denticulatus,r,7/29/2019,2,2,0.013,r,n,,2.11081
923,KEB_00595,595,melissodes trinodis,r,7/29/2019,1,1,0.01,l,n,,1.8544
924,KEB_00595,595,melissodes trinodis,r,7/29/2019,1,2,0.01,l,n,,1.8544
925,KEB_00595,595,melissodes trinodis,r,7/29/2019,2,1,0.01,r,n,,1.8544
926,KEB_00595,595,melissodes trinodis,r,7/29/2019,2,2,0.01,r,n,,1.8544
927,KEB_00655,655,melissodes denticulatus,r,8/9/2019,1,1,0.013,l,n,,1.9487975
928,KEB_00655,655,melissodes denticulatus,r,8/9/2019,1,2,0.013,l,n,,1.9487975
929,KEB_00655,655,melissodes denticulatus,r,8/9/2019,2,1,0.013,r,y,,1.9487975
930,KEB_00655,655,melissodes denticulatus,r,8/9/2019,2,2,0.013,r,y,,1.9487975
931,KEB_00659,659,melissodes denticulatus,r,8/9/2019,1,1,0.013,l,y,,2.2233575
932,KEB_00659,659,melissodes denticulatus,r,8/9/2019,1,2,0.013,l,y,,2.2233575
933,KEB_00659,659,melissodes denticulatus,r,8/9/2019,2,1,0.013,r,n,,2.2233575
934,KEB_00659,659,melissodes denticulatus,r,8/9/2019,2,2,0.013,r,n,,2.2233575
935,KEB_00671,671,melissodes denticulatus,r,8/9/2019,1,1,0.013,l,y,,1.99862
936,KEB_00671,671,melissodes denticulatus,r,8/9/2019,1,2,0.013,l,y,,1.99862
937,KEB_00671,671,melissodes denticulatus,r,8/9/2019,2,1,0.013,r,n,,1.99862
938,KEB_00671,671,melissodes denticulatus,r,8/9/2019,2,2,0.013,r,n,,1.99862
939,KEB_00672,672,melissodes denticulatus,r,8/9/2019,1,1,0.013,l,y,,2.0812025
940,KEB_00672,672,melissodes denticulatus,r,8/9/2019,1,2,0.013,l,y,,2.0812025
941,KEB_00672,672,melissodes denticulatus,r,8/9/2019,2,1,0.013,r,n,,2.0812025
942,KEB_00672,672,melissodes denticulatus,r,8/9/2019,2,2,0.013,r,n,,2.0812025
943,KEB_00721,721,melissodes denticulatus,r,8/13/2019,1,1,0.013,l,y,,1.9472375
944,KEB_00721,721,melissodes denticulatus,r,8/13/2019,1,2,0.013,l,y,,1.9472375
945,KEB_00721,721,melissodes denticulatus,r,8/13/2019,2,1,0.013,r,n,,1.9472375
946,KEB_00721,721,melissodes denticulatus,r,8/13/2019,2,2,0.013,r,n,,1.9472375
947,KEB_00722,722,melissodes trinodis,r,8/13/2019,1,1,0.013,l,n,,1.94402
948,KEB_00722,722,melissodes trinodis,r,8/13/2019,1,2,0.013,l,n,,1.94402
949,KEB_00722,722,melissodes trinodis,r,8/13/2019,2,1,0.013,r,n,,1.94402
950,KEB_00722,722,melissodes trinodis,r,8/13/2019,2,2,0.013,r,n,,1.94402
951,KEB_00783,783,melissodes denticulatus,r,8/15/2019,1,1,0.013,l,y,,2.071745
952,KEB_00783,783,melissodes denticulatus,r,8/15/2019,1,2,0.013,l,y,,2.071745
953,KEB_00783,783,melissodes denticulatus,r,8/15/2019,2,1,0.013,r,n,,2.071745
954,KEB_00783,783,melissodes denticulatus,r,8/15/2019,2,2,0.013,r,n,,2.071745
955,KEB_00812,812,melissodes denticulatus,r,8/16/2019,1,1,0.01,l,y,,1.97135
956,KEB_00812,812,melissodes denticulatus,r,8/16/2019,1,2,0.01,l,y,,1.97135
957,KEB_00812,812,melissodes denticulatus,r,8/16/2019,2,1,0.01,r,y,,1.97135
958,KEB_00812,812,melissodes denticulatus,r,8/16/2019,2,2,0.01,r,y,,1.97135
959,KEB_00823,823,melissodes denticulatus,r,8/16/2019,1,1,0.016,l,y,,2.06688
960,KEB_00823,823,melissodes denticulatus,r,8/16/2019,1,2,0.016,l,y,,2.06688
961,KEB_00823,823,melissodes denticulatus,r,8/16/2019,2,1,0.016,r,n,,2.06688
962,KEB_00823,823,melissodes denticulatus,r,8/16/2019,2,2,0.016,r,n,,2.06688
963,KEB_00824,824,melissodes denticulatus,r,8/16/2019,1,1,0.01,l,n,,1.9545
964,KEB_00824,824,melissodes denticulatus,r,8/16/2019,1,2,0.01,l,n,,1.9545
965,KEB_00824,824,melissodes denticulatus,r,8/16/2019,2,1,0.01,r,n,,1.9545
966,KEB_00824,824,melissodes denticulatus,r,8/16/2019,2,2,0.01,r,n,,1.9545
967,KEB_00826,826,melissodes trinodis,r,8/16/2019,1,1,0.013,l,y,,1.9382025
968,KEB_00826,826,melissodes trinodis,r,8/16/2019,1,2,0.013,l,y,,1.9382025
969,KEB_00826,826,melissodes trinodis,r,8/16/2019,2,1,0.013,r,y,,1.9382025
970,KEB_00826,826,melissodes trinodis,r,8/16/2019,2,2,0.013,r,y,,1.9382025
971,KEB_00843,843,melissodes trinodis,r,8/16/2019,1,1,0.01,l,y,,1.867325
972,KEB_00843,843,melissodes trinodis,r,8/16/2019,1,2,0.01,l,y,,1.867325
973,KEB_00843,843,melissodes trinodis,r,8/16/2019,2,1,0.01,r,n,,1.867325
974,KEB_00843,843,melissodes trinodis,r,8/16/2019,2,2,0.01,r,n,,1.867325
975,KEB_00848,848,melissodes trinodis,r,8/16/2019,1,1,0.01,l,n,,1.8507
976,KEB_00848,848,melissodes trinodis,r,8/16/2019,1,2,0.01,l,n,,1.8507
977,KEB_00848,848,melissodes trinodis,r,8/16/2019,2,1,0.01,r,n,,1.8507
978,KEB_00848,848,melissodes trinodis,r,8/16/2019,2,2,0.01,r,n,,1.8507
979,KEB_00885,885,melissodes trinodis,c,8/30/2019,1,1,0.013,l,n,,1.98861
980,KEB_00885,885,melissodes trinodis,c,8/30/2019,1,2,0.013,l,n,,1.98861
981,KEB_00885,885,melissodes trinodis,c,8/30/2019,2,1,0.013,r,n,,1.98861
982,KEB_00885,885,melissodes trinodis,c,8/30/2019,2,2,0.013,r,n,,1.98861
983,KEB_00886,886,melissodes trinodis,c,8/30/2019,1,1,0.013,l,y,,1.9072625
984,KEB_00886,886,melissodes trinodis,c,8/30/2019,1,2,0.013,l,y,,1.9072625
985,KEB_00886,886,melissodes trinodis,c,8/30/2019,2,1,0.013,r,n,,1.9072625
986,KEB_00886,886,melissodes trinodis,c,8/30/2019,2,2,0.013,r,n,,1.9072625
987,KEB_00887,887,melissodes trinodis,c,8/30/2019,1,1,0.013,l,y,,2.3582325
988,KEB_00887,887,melissodes trinodis,c,8/30/2019,1,2,0.013,l,y,,2.3582325
989,KEB_00887,887,melissodes trinodis,c,8/30/2019,2,1,0.013,r,y,,2.3582325
990,KEB_00887,887,melissodes trinodis,c,8/30/2019,2,2,0.013,r,y,,2.3582325
991,KEB_00898,898,melissodes trinodis,r,8/30/2019,1,1,0.013,l,n,,1.9703125
992,KEB_00898,898,melissodes trinodis,r,8/30/2019,1,2,0.013,l,n,,1.9703125
993,KEB_00898,898,melissodes trinodis,r,8/30/2019,2,1,0.013,r,y,,1.9703125
994,KEB_00898,898,melissodes trinodis,r,8/30/2019,2,2,0.013,r,y,,1.9703125
995,KEB_00914,914,melissodes trinodis,r,8/30/2019,1,1,0.013,l,y,,2.0137975
996,KEB_00914,914,melissodes trinodis,r,8/30/2019,1,2,0.013,l,y,,2.0137975
997,KEB_00914,914,melissodes trinodis,r,8/30/2019,2,1,0.013,r,n,,2.0137975
998,KEB_00914,914,melissodes trinodis,r,8/30/2019,2,2,0.013,r,n,,2.0137975
999,KEB_00940,940,melissodes trinodis,r,9/2/2019,1,1,0.013,l,y,,2.019485
1000,KEB_00940,940,melissodes trinodis,r,9/2/2019,1,2,0.013,l,y,,2.019485
1001,KEB_00940,940,melissodes trinodis,r,9/2/2019,2,1,0.013,r,n,,2.019485
1002,KEB_00940,940,melissodes trinodis,r,9/2/2019,2,2,0.013,r,n,resampled,2.019485
1003,KEB_00956,956,melissodes trinodis,r,9/13/2019,1,1,0.013,l,y,,2.2637225
1004,KEB_00956,956,melissodes trinodis,r,9/13/2019,1,2,0.013,l,y,,2.2637225
1005,KEB_00956,956,melissodes trinodis,r,9/13/2019,2,1,0.013,r,n,,2.2637225
1006,KEB_00956,956,melissodes trinodis,r,9/13/2019,2,2,0.013,r,n,,2.2637225
1007,KEB_00962,962,melissodes trinodis,r,9/13/2019,1,1,0.013,l,n,,1.89124
1008,KEB_00962,962,melissodes trinodis,r,9/13/2019,1,2,0.013,l,n,,1.89124
1009,KEB_00962,962,melissodes trinodis,r,9/13/2019,2,1,0.013,r,y,,1.89124
1010,KEB_00962,962,melissodes trinodis,r,9/13/2019,2,2,0.013,r,y,,1.89124
1311,KEB_00286,286,melissodes bimaculatus,r,7/15/2019,1,1,0.026,l,n,,2.455375
1312,KEB_00286,286,melissodes bimaculatus,r,7/15/2019,1,2,0.026,l,n,,2.455375
1313,KEB_00286,286,melissodes bimaculatus,r,7/15/2019,2,1,0.026,r,n,,2.455375
1314,KEB_00286,286,melissodes bimaculatus,r,7/15/2019,2,2,0.026,r,n,,2.455375
1315,KEB_00329,329,melissodes denticulatus,r,7/16/2019,1,1,0.026,l,y,,2.1034
1316,KEB_00329,329,melissodes denticulatus,r,7/16/2019,1,2,0.026,l,y,,2.1034
1317,KEB_00329,329,melissodes denticulatus,r,7/16/2019,2,1,0.026,r,n,,2.1034
1318,KEB_00329,329,melissodes denticulatus,r,7/16/2019,2,2,0.026,r,n,,2.1034
1319,KEB_00362,362,melissodes bimaculatus,r,7/17/2019,1,1,0.026,l,y,,2.57764
1320,KEB_00362,362,melissodes bimaculatus,r,7/17/2019,1,2,0.026,l,y,,2.57764
1321,KEB_00362,362,melissodes bimaculatus,r,7/17/2019,2,1,0.026,r,n,,2.57764
1322,KEB_00362,362,melissodes bimaculatus,r,7/17/2019,2,2,0.026,r,n,,2.57764
1335,KEB_00497,497,melissodes bimaculatus,c,7/25/2019,1,1,0.026,l,y,,2.557425
1336,KEB_00497,497,melissodes bimaculatus,c,7/25/2019,1,2,0.026,l,y,,2.557425
1337,KEB_00497,497,melissodes bimaculatus,c,7/25/2019,2,1,0.026,r,n,,2.557425
1338,KEB_00497,497,melissodes bimaculatus,c,7/25/2019,2,2,0.026,r,n,,2.557425
1339,KEB_00529,529,melissodes denticulatus,r,7/25/2019,1,1,0.026,l,y,,2.18192
1340,KEB_00529,529,melissodes denticulatus,r,7/25/2019,1,2,0.026,l,y,,2.18192
1341,KEB_00529,529,melissodes denticulatus,r,7/25/2019,2,1,0.026,r,n,,2.18192
1342,KEB_00529,529,melissodes denticulatus,r,7/25/2019,2,2,0.026,r,n,,2.18192
1343,KEB_00658,658,melissodes bimaculatus,r,8/9/2019,1,1,0.026,l,y,,2.605785
1344,KEB_00658,658,melissodes bimaculatus,r,8/9/2019,1,2,0.026,l,y,,2.605785
1345,KEB_00658,658,melissodes bimaculatus,r,8/9/2019,2,1,0.026,r,n,,2.605785
1346,KEB_00658,658,melissodes bimaculatus,r,8/9/2019,2,2,0.026,r,n,,2.605785
1347,KEB_00670,670,melissodes denticulatus,r,8/9/2019,1,1,0.026,l,y,,2.051335
1348,KEB_00670,670,melissodes denticulatus,r,8/9/2019,1,2,0.026,l,y,,2.051335
1349,KEB_00670,670,melissodes denticulatus,r,8/9/2019,2,1,0.026,r,n,,2.051335
1350,KEB_00670,670,melissodes denticulatus,r,8/9/2019,2,2,0.026,r,n,,2.051335
1351,KEB_00676,676,melissodes bimaculatus,r,8/9/2019,1,1,0.026,l,y,,2.39252
1352,KEB_00676,676,melissodes bimaculatus,r,8/9/2019,1,2,0.026,l,y,,2.39252
1353,KEB_00676,676,melissodes bimaculatus,r,8/9/2019,2,1,0.026,r,n,,2.39252
1354,KEB_00676,676,melissodes bimaculatus,r,8/9/2019,2,2,0.026,r,n,,2.39252
1359,KEB_00699,699,melissodes bimaculatus,r,8/9/2019,1,1,0.026,l,y,,2.717585
1360,KEB_00699,699,melissodes bimaculatus,r,8/9/2019,1,2,0.026,l,y,,2.717585
1361,KEB_00699,699,melissodes bimaculatus,r,8/9/2019,2,1,0.026,r,y,,2.717585
1362,KEB_00699,699,melissodes bimaculatus,r,8/9/2019,2,2,0.026,r,y,,2.717585
1363,KEB_00700,700,melissodes bimaculatus,r,8/9/2019,1,1,0.026,l,n,,2.47325
1364,KEB_00700,700,melissodes bimaculatus,r,8/9/2019,1,2,0.026,l,n,,2.47325
1365,KEB_00700,700,melissodes bimaculatus,r,8/9/2019,2,1,0.026,r,n,,2.47325
1366,KEB_00700,700,melissodes bimaculatus,r,8/9/2019,2,2,0.026,r,n,,2.47325
1367,KEB_00701,701,melissodes bimaculatus,r,8/9/2019,1,1,0.026,l,y,,2.58063
1368,KEB_00701,701,melissodes bimaculatus,r,8/9/2019,1,2,0.026,l,y,,2.58063
1369,KEB_00701,701,melissodes bimaculatus,r,8/9/2019,2,1,0.026,r,n,,2.58063
1370,KEB_00701,701,melissodes bimaculatus,r,8/9/2019,2,2,0.026,r,n,,2.58063
1371,KEB_00702,702,melissodes bimaculatus,r,8/9/2019,1,1,0.026,l,y,,2.698475
1372,KEB_00702,702,melissodes bimaculatus,r,8/9/2019,1,2,0.026,l,y,,2.698475
1373,KEB_00702,702,melissodes bimaculatus,r,8/9/2019,2,1,0.026,r,n,,2.698475
1374,KEB_00702,702,melissodes bimaculatus,r,8/9/2019,2,2,0.026,r,n,resampled,2.698475
1375,KEB_00703,703,melissodes bimaculatus,r,8/9/2019,1,1,0.026,l,n,,2.75184
1376,KEB_00703,703,melissodes bimaculatus,r,8/9/2019,1,2,0.026,l,n,,2.75184
1377,KEB_00703,703,melissodes bimaculatus,r,8/9/2019,2,1,0.026,r,n,,2.75184
1378,KEB_00703,703,melissodes bimaculatus,r,8/9/2019,2,2,0.026,r,n,,2.75184
1379,KEB_00712,712,melissodes denticulatus,c,8/13/2019,1,1,0.026,l,n,,2.16918
1380,KEB_00712,712,melissodes denticulatus,c,8/13/2019,1,2,0.026,l,n,,2.16918
1381,KEB_00712,712,melissodes denticulatus,c,8/13/2019,2,1,0.026,r,y,,2.16918
1382,KEB_00712,712,melissodes denticulatus,c,8/13/2019,2,2,0.026,r,y,,2.16918
1383,KEB_00716,716,melissodes bimaculatus,r,8/13/2019,1,1,0.026,l,y,,2.91291
1384,KEB_00716,716,melissodes bimaculatus,r,8/13/2019,1,2,0.026,l,y,,2.91291
1385,KEB_00716,716,melissodes bimaculatus,r,8/13/2019,2,1,0.026,r,n,resampled,2.91291
1386,KEB_00716,716,melissodes bimaculatus,r,8/13/2019,2,2,0.026,r,n,,2.91291
1387,KEB_00720,720,melissodes denticulatus,r,8/13/2019,1,1,0.026,l,y,,1.976325
1388,KEB_00720,720,melissodes denticulatus,r,8/13/2019,1,2,0.026,l,y,,1.976325
1389,KEB_00720,720,melissodes denticulatus,r,8/13/2019,2,1,0.026,r,n,,1.976325
1390,KEB_00720,720,melissodes denticulatus,r,8/13/2019,2,2,0.026,r,n,,1.976325
1395,KEB_00745,745,melissodes denticulatus,r,8/13/2019,1,1,0.026,l,y,,2.15007
1396,KEB_00745,745,melissodes denticulatus,r,8/13/2019,1,2,0.026,l,y,,2.15007
1397,KEB_00745,745,melissodes denticulatus,r,8/13/2019,2,1,0.026,r,y,,2.15007
1398,KEB_00745,745,melissodes denticulatus,r,8/13/2019,2,2,0.026,r,y,,2.15007
1399,KEB_00755,755,melissodes bimaculatus,r,8/14/2019,1,1,0.026,l,y,,2.66357
1400,KEB_00755,755,melissodes bimaculatus,r,8/14/2019,1,2,0.026,l,y,,2.66357
1401,KEB_00755,755,melissodes bimaculatus,r,8/14/2019,2,1,0.026,r,n,,2.66357
1402,KEB_00755,755,melissodes bimaculatus,r,8/14/2019,2,2,0.026,r,n,,2.66357
1415,KEB_00784,784,melissodes bimaculatus,r,8/15/2019,1,1,0.026,l,y,,2.587715
1416,KEB_00784,784,melissodes bimaculatus,r,8/15/2019,1,2,0.026,l,y,,2.587715
1417,KEB_00784,784,melissodes bimaculatus,r,8/15/2019,2,1,0.026,r,n,,2.587715
1418,KEB_00784,784,melissodes bimaculatus,r,8/15/2019,2,2,0.026,r,n,,2.587715
1419,KEB_00820,820,melissodes bimaculatus,r,8/16/2019,1,1,0.026,l,y,,2.74664
1420,KEB_00820,820,melissodes bimaculatus,r,8/16/2019,1,2,0.026,l,y,,2.74664
1421,KEB_00820,820,melissodes bimaculatus,r,8/16/2019,2,1,0.026,r,n,,2.74664
1422,KEB_00820,820,melissodes bimaculatus,r,8/16/2019,2,2,0.026,r,n,,2.74664
1511,KEB_00237,237,melissodes denticulatus,r,7/12/2019,1,1,0.013,l,y,,1.8096975
1512,KEB_00237,237,melissodes denticulatus,r,7/12/2019,1,2,0.013,l,y,,1.8096975
1513,KEB_00237,237,melissodes denticulatus,r,7/12/2019,2,1,0.013,r,n,,1.8096975
1514,KEB_00237,237,melissodes denticulatus,r,7/12/2019,2,2,0.013,r,n,,1.8096975
