rn,final id,id,species,site,specimen.date,wing,trial,pixel to mm2,L.R,flip?,length
327,KEB_00837,837,halictus ligatus,r,8/16/2019,1,1,0.01,r,n,1.376525
328,KEB_00837,837,halictus ligatus,r,8/16/2019,1,2,0.01,r,n,1.376525
329,KEB_00837,837,halictus ligatus,r,8/16/2019,2,1,0.01,l,y,1.376525
330,KEB_00837,837,halictus ligatus,r,8/16/2019,2,2,0.01,l,y,1.376525
331,KEB_00845,845,halictus ligatus,r,8/16/2019,1,1,0.013,l,y,1.50397
332,KEB_00845,845,halictus ligatus,r,8/16/2019,1,2,0.013,l,y,1.50397
333,KEB_00845,845,halictus ligatus,r,8/16/2019,2,1,0.013,r,n,1.50397
334,KEB_00845,845,halictus ligatus,r,8/16/2019,2,2,0.013,r,n,1.50397
335,KEB_00935,935,halictus ligatus,r,9/2/2019,1,1,0.013,l,y,1.52971
336,KEB_00935,935,halictus ligatus,r,9/2/2019,1,2,0.013,l,y,1.52971
337,KEB_00935,935,halictus ligatus,r,9/2/2019,2,1,0.013,r,n,1.52971
338,KEB_00935,935,halictus ligatus,r,9/2/2019,2,2,0.013,r,n,1.52971
339,KEB_00936,936,halictus ligatus,r,9/2/2019,1,1,0.016,l,y,1.65724
340,KEB_00936,936,halictus ligatus,r,9/2/2019,1,2,0.016,l,y,1.65724
341,KEB_00936,936,halictus ligatus,r,9/2/2019,2,1,0.016,r,n,1.65724
342,KEB_00936,936,halictus ligatus,r,9/2/2019,2,2,0.016,r,n,1.65724
343,KEB_00937,937,halictus ligatus,r,9/2/2019,1,1,0.013,l,y,1.7697225
344,KEB_00937,937,halictus ligatus,r,9/2/2019,1,2,0.013,l,y,1.7697225
345,KEB_00937,937,halictus ligatus,r,9/2/2019,2,1,0.013,l,y,1.7697225
346,KEB_00937,937,halictus ligatus,r,9/2/2019,2,2,0.013,l,y,1.7697225
347,KEB_00942,942,halictus ligatus,c,9/13/2019,1,1,0.013,l,y,1.692405
348,KEB_00942,942,halictus ligatus,c,9/13/2019,1,2,0.013,l,y,1.692405
349,KEB_00942,942,halictus ligatus,c,9/13/2019,2,1,0.013,l,y,1.692405
350,KEB_00942,942,halictus ligatus,c,9/13/2019,2,2,0.013,l,y,1.692405
351,KEB_00948,948,halictus ligatus,c,9/13/2019,1,1,0.01,l,y,1.624625
352,KEB_00948,948,halictus ligatus,c,9/13/2019,1,2,0.01,l,y,1.624625
353,KEB_00948,948,halictus ligatus,c,9/13/2019,2,1,0.01,l,y,1.624625
354,KEB_00948,948,halictus ligatus,c,9/13/2019,2,2,0.01,l,y,1.624625
355,KEB_00964,964,halictus ligatus,r,9/13/2019,1,1,0.0081,r,n,1.76525325
356,KEB_00964,964,halictus ligatus,r,9/13/2019,1,2,0.0081,r,n,1.76525325
357,KEB_00964,964,halictus ligatus,r,9/13/2019,2,1,0.0081,r,n,1.76525325
358,KEB_00964,964,halictus ligatus,r,9/13/2019,2,2,0.0081,r,n,1.76525325
361,KEB_00990,990,halictus ligatus,r,9/20/2019,2,1,0.013,l,y,1.6999125
362,KEB_00990,990,halictus ligatus,r,9/20/2019,2,2,0.013,l,y,1.6999125
363,KEB_01015,1015,halictus ligatus,r,9/20/2019,1,1,0.016,l,y,1.6974
364,KEB_01015,1015,halictus ligatus,r,9/20/2019,1,2,0.016,l,y,1.6974
365,KEB_01015,1015,halictus ligatus,r,9/20/2019,2,1,0.016,l,y,1.6974
366,KEB_01015,1015,halictus ligatus,r,9/20/2019,2,2,0.016,l,y,1.6974
367,KEB_00930,930,halictus confusus,c,9/2/2019,1,1,0.01,r,n,1.353625
368,KEB_00930,930,halictus confusus,c,9/2/2019,1,2,0.01,r,n,1.353625
369,KEB_00930,930,halictus confusus,c,9/2/2019,2,1,0.01,l,y,1.353625
370,KEB_00930,930,halictus confusus,c,9/2/2019,2,2,0.01,l,y,1.353625
371,KEB_00932,932,halictus confusus,c,9/2/2019,1,1,0.013,r,n,1.50072
372,KEB_00932,932,halictus confusus,c,9/2/2019,1,2,0.013,r,n,1.50072
373,KEB_00932,932,halictus confusus,c,9/2/2019,2,1,0.013,r,n,1.50072
374,KEB_00932,932,halictus confusus,c,9/2/2019,2,2,0.013,r,n,1.50072
375,KEB_00881,881,halictus confusus,r,8/29/2019,1,1,0.013,r,n,1.428895
376,KEB_00881,881,halictus confusus,r,8/29/2019,1,2,0.013,r,n,1.428895
377,KEB_00881,881,halictus confusus,r,8/29/2019,2,1,0.013,l,y,1.428895
378,KEB_00881,881,halictus confusus,r,8/29/2019,2,2,0.013,l,y,1.428895
379,KEB_00802,802,halictus confusus,c,8/15/2019,1,1,0.013,l,y,1.4222975
380,KEB_00802,802,halictus confusus,c,8/15/2019,1,2,0.013,l,y,1.4222975
381,KEB_00802,802,halictus confusus,c,8/15/2019,2,1,0.013,r,n,1.4222975
382,KEB_00802,802,halictus confusus,c,8/15/2019,2,2,0.013,r,n,1.4222975
383,KEB_00710,710,halictus confusus,c,8/13/2019,1,1,0.01,r,n,1.298025
384,KEB_00710,710,halictus confusus,c,8/13/2019,1,2,0.01,r,n,1.298025
385,KEB_00710,710,halictus confusus,c,8/13/2019,2,1,0.01,r,n,1.298025
386,KEB_00710,710,halictus confusus,c,8/13/2019,2,2,0.01,r,n,1.298025
387,KEB_00542,542,halictus confusus,c,7/26/2019,1,1,0.01,r,n,1.40435
388,KEB_00542,542,halictus confusus,c,7/26/2019,1,2,0.01,r,n,1.40435
389,KEB_00542,542,halictus confusus,c,7/26/2019,2,1,0.01,l,y,1.40435
390,KEB_00542,542,halictus confusus,c,7/26/2019,2,2,0.01,l,y,1.40435
391,KEB_00541,541,halictus confusus,c,7/26/2019,1,1,0.01,l,y,1.31205
392,KEB_00541,541,halictus confusus,c,7/26/2019,1,2,0.01,l,y,1.31205
393,KEB_00541,541,halictus confusus,c,7/26/2019,2,1,0.01,l,y,1.31205
394,KEB_00541,541,halictus confusus,c,7/26/2019,2,2,0.01,l,y,1.31205
395,KEB_00404,404,halictus confusus,r,7/19/2019,1,1,0.01,l,y,1.4137375
396,KEB_00404,404,halictus confusus,r,7/19/2019,1,2,0.01,l,y,1.4137375
397,KEB_00404,404,halictus confusus,r,7/19/2019,2,1,0.01,l,y,1.4137375
398,KEB_00404,404,halictus confusus,r,7/19/2019,2,2,0.01,l,y,1.4137375
399,KEB_00365,365,halictus ligatus,r,7/17/2019,1,1,0.01,l,y,1.5801875
400,KEB_00365,365,halictus ligatus,r,7/17/2019,1,2,0.01,l,y,1.5801875
401,KEB_00365,365,halictus ligatus,r,7/17/2019,2,1,0.01,l,y,1.5801875
402,KEB_00365,365,halictus ligatus,r,7/17/2019,2,2,0.01,l,y,1.5801875
403,KEB_00999,999,halictus confusus,c,9/20/2019,1,1,0.013,r,n,1.4388075
404,KEB_00999,999,halictus confusus,c,9/20/2019,1,2,0.013,r,n,1.4388075
405,KEB_00999,999,halictus confusus,c,9/20/2019,2,1,0.013,r,n,1.4388075
406,KEB_00999,999,halictus confusus,c,9/20/2019,2,2,0.013,r,n,1.4388075
407,KEB_00253,253,halictus confusus,r,7/12/2019,1,1,0.013,r,n,1.36462625
408,KEB_00253,253,halictus confusus,r,7/12/2019,1,2,0.013,r,n,1.36462625
409,KEB_00253,253,halictus confusus,r,7/12/2019,2,1,0.013,l,y,1.36462625
410,KEB_00253,253,halictus confusus,r,7/12/2019,2,2,0.013,l,y,1.36462625
411,KEB_00310,310,halictus confusus,r,7/15/2019,1,1,0.013,l,y,1.355163333
412,KEB_00310,310,halictus confusus,r,7/15/2019,1,2,0.013,l,y,1.355163333
413,KEB_00310,310,halictus confusus,r,7/15/2019,2,1,0.013,l,y,1.355163333
414,KEB_00310,310,halictus confusus,r,7/15/2019,2,2,0.013,l,y,1.355163333
415,KEB_00923,923,halictus confusus,c,9/2/2019,1,1,0.013,r,n,1.3662025
416,KEB_00923,923,halictus confusus,c,9/2/2019,1,2,0.013,r,n,1.3662025
417,KEB_00923,923,halictus confusus,c,9/2/2019,2,1,0.013,l,y,1.3662025
418,KEB_00923,923,halictus confusus,c,9/2/2019,2,2,0.013,l,y,1.3662025
419,KEB_00945,945,halictus confusus,c,9/13/2019,1,1,0.013,r,n,1.52087
420,KEB_00945,945,halictus confusus,c,9/13/2019,1,2,0.013,r,n,1.52087
421,KEB_00945,945,halictus confusus,c,9/13/2019,2,1,0.013,r,n,1.52087
422,KEB_00945,945,halictus confusus,c,9/13/2019,2,2,0.013,r,n,1.52087
423,KEB_00993,993,halictus confusus,r,9/20/2019,1,1,0.013,l,y,1.52776
424,KEB_00993,993,halictus confusus,r,9/20/2019,1,2,0.013,l,y,1.52776
425,KEB_00993,993,halictus confusus,r,9/20/2019,2,1,0.013,l,y,1.52776
426,KEB_00993,993,halictus confusus,r,9/20/2019,2,2,0.013,l,y,1.52776
427,KEB_00997,997,halictus confusus,c,9/20/2019,1,1,0.013,r,n,1.321225
428,KEB_00997,997,halictus confusus,c,9/20/2019,1,2,0.013,r,n,1.321225
429,KEB_00997,997,halictus confusus,c,9/20/2019,2,1,0.01,l,y,1.717593
430,KEB_00997,997,halictus confusus,c,9/20/2019,2,2,0.01,l,y,1.321225
