rn,final id,id,species,site,specimen.date,wing,trial,pixel to mm2,L.R,flip?,length
1015,KEB_00504,504,bombus bimaculatus,c,7/25/2019,1,1,0.016,l,y,2.85504
1016,KEB_00504,504,bombus bimaculatus,c,7/25/2019,1,2,0.016,l,y,2.85504
1017,KEB_00504,504,bombus bimaculatus,c,7/25/2019,2,1,0.016,r,n,2.85504
1018,KEB_00504,504,bombus bimaculatus,c,7/25/2019,2,2,0.016,r,n,2.85504
1019,KEB_00521,521,bombus bimaculatus,r,7/25/2019,1,1,0.016,l,y,4.09708
1020,KEB_00521,521,bombus bimaculatus,r,7/25/2019,1,2,0.016,l,y,4.09708
1021,KEB_00521,521,bombus bimaculatus,r,7/25/2019,2,1,0.016,r,n,4.09708
1022,KEB_00521,521,bombus bimaculatus,r,7/25/2019,2,2,0.016,r,n,4.09708
1023,KEB_00522,522,bombus bimaculatus,r,7/25/2019,1,1,0.026,l,y,4.00708
1024,KEB_00522,522,bombus bimaculatus,r,7/25/2019,1,2,0.026,l,y,4.00708
1025,KEB_00522,522,bombus bimaculatus,r,7/25/2019,2,1,0.026,r,n,4.00708
1026,KEB_00522,522,bombus bimaculatus,r,7/25/2019,2,2,0.026,r,n,4.00708
1027,KEB_00571,571,bombus bimaculatus,r,7/26/2019,1,1,0.026,l,y,3.28956
1028,KEB_00571,571,bombus bimaculatus,r,7/26/2019,1,2,0.026,l,y,3.28956
1029,KEB_00571,571,bombus bimaculatus,r,7/26/2019,2,1,0.026,r,n,3.28956
1030,KEB_00571,571,bombus bimaculatus,r,7/26/2019,2,2,0.026,r,n,3.28956
1031,KEB_00581,581,bombus griseocollis,r,7/26/2019,1,1,0.016,l,y,3.24828
1032,KEB_00581,581,bombus griseocollis,r,7/26/2019,1,2,0.016,l,y,3.24828
1033,KEB_00581,581,bombus griseocollis,r,7/26/2019,2,1,0.016,r,n,3.24828
1034,KEB_00581,581,bombus griseocollis,r,7/26/2019,2,2,0.016,r,n,3.24828
1035,KEB_00718,718,bombus bimaculatus,r,8/13/2019,1,1,0.016,l,y,3.99448
1036,KEB_00718,718,bombus bimaculatus,r,8/13/2019,1,2,0.016,l,y,3.99448
1037,KEB_00718,718,bombus bimaculatus,r,8/13/2019,2,1,0.016,r,n,3.99448
1038,KEB_00718,718,bombus bimaculatus,r,8/13/2019,2,2,0.016,r,n,3.99448
1039,KEB_00728,728,bombus griseocollis,r,8/13/2019,1,1,0.026,l,y,4.081285
1040,KEB_00728,728,bombus griseocollis,r,8/13/2019,1,2,0.026,l,y,4.081285
1041,KEB_00728,728,bombus griseocollis,r,8/13/2019,2,1,0.026,r,n,4.081285
1042,KEB_00728,728,bombus griseocollis,r,8/13/2019,2,2,0.026,r,n,4.081285
1043,KEB_00752,752,bombus bimaculatus,r,8/13/2019,1,1,0.016,l,y,3.83304
1044,KEB_00752,752,bombus bimaculatus,r,8/13/2019,1,2,0.016,l,y,3.83304
1045,KEB_00752,752,bombus bimaculatus,r,8/13/2019,2,1,0.016,r,n,3.83304
1046,KEB_00752,752,bombus bimaculatus,r,8/13/2019,2,2,0.016,r,n,3.83304
1047,KEB_00774,774,bombus impatiens,c,8/14/2019,1,1,0.016,l,y,3.12804
1048,KEB_00774,774,bombus impatiens,c,8/14/2019,1,2,0.016,l,y,3.12804
1049,KEB_00774,774,bombus impatiens,c,8/14/2019,2,1,0.016,r,n,3.12804
1050,KEB_00774,774,bombus impatiens,c,8/14/2019,2,2,0.016,r,n,3.12804
1051,KEB_00779,779,bombus bimaculatus,c,8/14/2019,1,1,0.016,l,y,3.854
1052,KEB_00779,779,bombus bimaculatus,c,8/14/2019,1,2,0.016,l,y,3.854
1053,KEB_00779,779,bombus bimaculatus,c,8/14/2019,2,1,0.016,r,n,3.854
1054,KEB_00779,779,bombus bimaculatus,c,8/14/2019,2,2,0.016,r,n,3.854
1055,KEB_00814,814,bombus bimaculatus,r,8/16/2019,1,1,0.016,l,y,3.63272
1056,KEB_00814,814,bombus bimaculatus,r,8/16/2019,1,2,0.016,l,y,3.63272
1057,KEB_00814,814,bombus bimaculatus,r,8/16/2019,2,1,0.016,r,n,3.63272
1058,KEB_00814,814,bombus bimaculatus,r,8/16/2019,2,2,0.016,r,n,3.63272
1059,KEB_01007,1007,bombus impatiens,r,9/20/2019,1,1,0.016,l,y,3.18948
1060,KEB_01007,1007,bombus impatiens,r,9/20/2019,1,2,0.016,l,y,3.18948
1061,KEB_01007,1007,bombus impatiens,r,9/20/2019,2,1,0.016,r,n,3.18948
1062,KEB_01007,1007,bombus impatiens,r,9/20/2019,2,2,0.016,r,n,3.18948
1063,KEB_00818,818,bombus bimaculatus,r,8/16/2019,1,1,0.016,l,y,3.82536
1064,KEB_00818,818,bombus bimaculatus,r,8/16/2019,1,2,0.016,l,y,3.82536
1065,KEB_00818,818,bombus bimaculatus,r,8/16/2019,2,1,0.016,r,n,3.82536
1066,KEB_00818,818,bombus bimaculatus,r,8/16/2019,2,2,0.016,r,n,3.82536
1067,KEB_00842,842,bombus bimaculatus,r,8/16/2019,1,1,0.016,l,y,3.95332
1068,KEB_00842,842,bombus bimaculatus,r,8/16/2019,1,2,0.016,l,y,3.95332
1069,KEB_00842,842,bombus bimaculatus,r,8/16/2019,2,1,0.016,r,n,3.95332
1070,KEB_00842,842,bombus bimaculatus,r,8/16/2019,2,2,0.016,r,n,3.95332
1071,KEB_00846,846,bombus bimaculatus,r,8/16/2019,1,1,0.016,l,y,3.57242
1072,KEB_00846,846,bombus bimaculatus,r,8/16/2019,1,2,0.016,l,y,3.57242
1073,KEB_00846,846,bombus bimaculatus,r,8/16/2019,2,1,0.016,r,n,3.57242
1074,KEB_00846,846,bombus bimaculatus,r,8/16/2019,2,2,0.016,r,n,3.57242
1075,KEB_00864,864,bombus bimaculatus,r,8/16/2019,1,1,0.016,l,y,3.73084
1076,KEB_00864,864,bombus bimaculatus,r,8/16/2019,1,2,0.016,l,y,3.73084
1077,KEB_00864,864,bombus bimaculatus,r,8/16/2019,2,1,0.016,r,n,3.73084
1078,KEB_00864,864,bombus bimaculatus,r,8/16/2019,2,2,0.016,r,n,3.73084
1079,KEB_00867,867,bombus bimaculatus,r,8/16/2019,1,1,0.016,l,y,4.06036
1080,KEB_00867,867,bombus bimaculatus,r,8/16/2019,1,2,0.016,l,y,4.06036
1081,KEB_00867,867,bombus bimaculatus,r,8/16/2019,2,1,0.016,r,n,4.06036
1082,KEB_00867,867,bombus bimaculatus,r,8/16/2019,2,2,0.016,r,n,4.06036
1083,KEB_00868,868,bombus bimaculatus,r,8/16/2019,1,1,0.026,l,y,1.966
1084,KEB_00868,868,bombus bimaculatus,r,8/16/2019,1,2,0.026,l,y,1.966
1085,KEB_00868,868,bombus bimaculatus,r,8/16/2019,2,1,0.026,r,n,1.966
1086,KEB_00868,868,bombus bimaculatus,r,8/16/2019,2,2,0.026,r,n,1.966
1087,KEB_00888,888,bombus bimaculatus,c,8/30/2019,1,1,0.016,l,y,3.99932
1088,KEB_00888,888,bombus bimaculatus,c,8/30/2019,1,2,0.016,l,y,3.99932
1089,KEB_00888,888,bombus bimaculatus,c,8/30/2019,2,1,0.016,r,n,3.99932
1090,KEB_00888,888,bombus bimaculatus,c,8/30/2019,2,2,0.016,r,n,3.99932
1091,KEB_00894,894,bombus bimaculatus,r,8/30/2019,1,1,0.026,l,y,4.43716
1092,KEB_00894,894,bombus bimaculatus,r,8/30/2019,1,2,0.026,l,y,4.43716
1093,KEB_00894,894,bombus bimaculatus,r,8/30/2019,2,1,0.026,r,n,4.43716
1094,KEB_00894,894,bombus bimaculatus,r,8/30/2019,2,2,0.026,r,n,4.43716
1095,KEB_00916,916,bombus bimaculatus,r,8/30/2019,1,1,0.016,l,y,4.00976
1096,KEB_00916,916,bombus bimaculatus,r,8/30/2019,1,2,0.016,l,y,4.00976
1097,KEB_00916,916,bombus bimaculatus,r,8/30/2019,2,1,0.016,r,n,4.00976
1098,KEB_00916,916,bombus bimaculatus,r,8/30/2019,2,2,0.016,r,n,4.00976
1099,KEB_00919,919,bombus bimaculatus,r,8/30/2019,1,1,0.016,l,y,3.81636
1100,KEB_00919,919,bombus bimaculatus,r,8/30/2019,1,2,0.016,l,y,3.81636
1101,KEB_00919,919,bombus bimaculatus,r,8/30/2019,2,1,0.016,r,n,3.81636
1102,KEB_00919,919,bombus bimaculatus,r,8/30/2019,2,2,0.016,r,n,3.81636
1103,KEB_00960,960,bombus impatiens,r,9/13/2019,1,1,0.016,l,y,3.36684
1104,KEB_00960,960,bombus impatiens,r,9/13/2019,1,2,0.016,l,y,3.36684
1105,KEB_00960,960,bombus impatiens,r,9/13/2019,2,1,0.016,r,n,3.36684
1106,KEB_00960,960,bombus impatiens,r,9/13/2019,2,2,0.016,r,n,3.36684
1107,KEB_01006,1006,bombus impatiens,r,9/20/2019,1,1,0.016,l,y,3.17868
1108,KEB_01006,1006,bombus impatiens,r,9/20/2019,1,2,0.016,l,y,3.17868
1109,KEB_01006,1006,bombus impatiens,r,9/20/2019,2,1,0.016,r,n,3.17868
1110,KEB_01006,1006,bombus impatiens,r,9/20/2019,2,2,0.016,r,n,3.17868
1111,KEB_00318,318,bombus griseocollis,r,7/16/2019,1,1,0.026,l,y,3.45306
1112,KEB_00318,318,bombus griseocollis,r,7/16/2019,1,2,0.026,l,y,3.45306
1113,KEB_00318,318,bombus griseocollis,r,7/16/2019,2,1,0.026,r,n,3.45306
1114,KEB_00318,318,bombus griseocollis,r,7/16/2019,2,2,0.026,r,n,3.45306
1115,KEB_00319,319,bombus griseocollis,r,7/16/2019,1,1,0.026,l,y,3.349775
1116,KEB_00319,319,bombus griseocollis,r,7/16/2019,1,2,0.026,l,y,3.349775
1117,KEB_00319,319,bombus griseocollis,r,7/16/2019,2,1,0.026,r,n,3.349775
1118,KEB_00319,319,bombus griseocollis,r,7/16/2019,2,2,0.026,r,n,3.349775
1119,KEB_00320,320,bombus griseocollis,r,7/16/2019,1,1,0.026,l,y,2.964845
1120,KEB_00320,320,bombus griseocollis,r,7/16/2019,1,2,0.026,l,y,2.964845
1121,KEB_00320,320,bombus griseocollis,r,7/16/2019,2,1,0.026,r,n,2.964845
1122,KEB_00320,320,bombus griseocollis,r,7/16/2019,2,2,0.026,r,n,2.964845
1123,KEB_00335,335,bombus griseocollis,r,7/16/2019,1,1,0.026,l,y,3.215277
1124,KEB_00335,335,bombus griseocollis,r,7/16/2019,1,2,0.026,l,y,3.215277
1125,KEB_00335,335,bombus griseocollis,r,7/16/2019,2,1,0.026,r,n,3.215277
1126,KEB_00335,335,bombus griseocollis,r,7/16/2019,2,2,0.026,r,n,3.215277
1127,KEB_00394,394,bombus griseocollis,r,7/19/2019,1,1,0.026,l,y,3.364595
1128,KEB_00394,394,bombus griseocollis,r,7/19/2019,1,2,0.026,l,y,3.364595
1129,KEB_00394,394,bombus griseocollis,r,7/19/2019,2,1,0.026,r,n,3.364595
1130,KEB_00394,394,bombus griseocollis,r,7/19/2019,2,2,0.026,r,n,3.364595
1131,KEB_00395,395,bombus griseocollis,r,7/19/2019,1,1,0.026,l,y,3.60568
1132,KEB_00395,395,bombus griseocollis,r,7/19/2019,1,2,0.026,l,y,3.60568
1133,KEB_00395,395,bombus griseocollis,r,7/19/2019,2,1,0.026,r,n,3.60568
1134,KEB_00395,395,bombus griseocollis,r,7/19/2019,2,2,0.026,r,n,3.60568
1135,KEB_00396,396,bombus griseocollis,r,7/19/2019,1,1,0.026,l,y,3.311685
1136,KEB_00396,396,bombus griseocollis,r,7/19/2019,1,2,0.026,l,y,3.311685
1137,KEB_00396,396,bombus griseocollis,r,7/19/2019,2,1,0.026,r,n,3.311685
1138,KEB_00396,396,bombus griseocollis,r,7/19/2019,2,2,0.026,r,n,3.311685
1139,KEB_00397,397,bombus griseocollis,r,7/19/2019,1,1,0.026,l,y,3.35439
1140,KEB_00397,397,bombus griseocollis,r,7/19/2019,1,2,0.026,l,y,3.35439
1141,KEB_00397,397,bombus griseocollis,r,7/19/2019,2,1,0.026,r,n,3.35439
1142,KEB_00397,397,bombus griseocollis,r,7/19/2019,2,2,0.026,r,n,3.35439
1143,KEB_00398,398,bombus griseocollis,r,7/19/2019,1,1,0.026,l,y,3.898245
1144,KEB_00398,398,bombus griseocollis,r,7/19/2019,1,2,0.026,l,y,3.898245
1145,KEB_00398,398,bombus griseocollis,r,7/19/2019,2,1,0.026,r,n,3.898245
1146,KEB_00398,398,bombus griseocollis,r,7/19/2019,2,2,0.026,r,n,3.898245
1147,KEB_00399,399,bombus griseocollis,r,7/19/2019,1,1,0.026,l,y,3.56681
1148,KEB_00399,399,bombus griseocollis,r,7/19/2019,1,2,0.026,l,y,3.56681
1149,KEB_00399,399,bombus griseocollis,r,7/19/2019,2,1,0.026,r,n,3.56681
1150,KEB_00399,399,bombus griseocollis,r,7/19/2019,2,2,0.026,r,n,3.56681
1151,KEB_00401,401,bombus griseocollis,r,7/19/2019,1,1,0.026,l,y,3.299855
1152,KEB_00401,401,bombus griseocollis,r,7/19/2019,1,2,0.026,l,y,3.299855
1153,KEB_00401,401,bombus griseocollis,r,7/19/2019,2,1,0.026,r,n,3.299855
1154,KEB_00401,401,bombus griseocollis,r,7/19/2019,2,2,0.026,r,n,3.299855
1155,KEB_00420,420,bombus griseocollis,r,7/19/2019,1,1,0.026,l,y,3.596255
1156,KEB_00420,420,bombus griseocollis,r,7/19/2019,1,2,0.026,l,y,3.596255
1157,KEB_00420,420,bombus griseocollis,r,7/19/2019,2,1,0.026,r,n,3.596255
1158,KEB_00420,420,bombus griseocollis,r,7/19/2019,2,2,0.026,r,n,3.596255
1159,KEB_00445,445,bombus griseocollis,r,7/23/2019,1,1,0.026,l,y,3.58566
1160,KEB_00445,445,bombus griseocollis,r,7/23/2019,1,2,0.026,l,y,3.58566
1161,KEB_00445,445,bombus griseocollis,r,7/23/2019,2,1,0.026,r,n,3.58566
1162,KEB_00445,445,bombus griseocollis,r,7/23/2019,2,2,0.026,r,n,3.58566
1163,KEB_00450,450,bombus griseocollis,r,7/23/2019,1,1,0.026,l,y,3.971045
1164,KEB_00450,450,bombus griseocollis,r,7/23/2019,1,2,0.026,l,y,3.971045
1165,KEB_00450,450,bombus griseocollis,r,7/23/2019,2,1,0.026,r,n,3.971045
1166,KEB_00450,450,bombus griseocollis,r,7/23/2019,2,2,0.026,r,n,3.971045
1167,KEB_00465,465,bombus griseocollis,r,7/23/2019,1,1,0.026,l,y,3.352505
1168,KEB_00465,465,bombus griseocollis,r,7/23/2019,1,2,0.026,l,y,3.352505
1169,KEB_00465,465,bombus griseocollis,r,7/23/2019,2,1,0.026,r,n,3.352505
1170,KEB_00465,465,bombus griseocollis,r,7/23/2019,2,2,0.026,r,n,3.352505
1171,KEB_00547,547,bombus griseocollis,r,7/26/2019,1,1,0.026,l,y,3.723395
1172,KEB_00547,547,bombus griseocollis,r,7/26/2019,1,2,0.026,l,y,3.723395
1173,KEB_00547,547,bombus griseocollis,r,7/26/2019,2,1,0.026,r,n,3.723395
1174,KEB_00547,547,bombus griseocollis,r,7/26/2019,2,2,0.026,r,n,3.723395
1175,KEB_00548,548,bombus griseocollis,r,7/26/2019,1,1,0.026,l,y,3.6863125
1176,KEB_00548,548,bombus griseocollis,r,7/26/2019,1,2,0.026,l,y,3.6863125
1177,KEB_00548,548,bombus griseocollis,r,7/26/2019,2,1,0.026,r,n,3.6863125
1178,KEB_00548,548,bombus griseocollis,r,7/26/2019,2,2,0.026,r,n,3.6863125
1179,KEB_00549,549,bombus griseocollis,r,7/26/2019,1,1,0.026,l,y,3.653325
1180,KEB_00549,549,bombus griseocollis,r,7/26/2019,1,2,0.026,l,y,3.653325
1181,KEB_00549,549,bombus griseocollis,r,7/26/2019,2,1,0.026,r,n,3.653325
1182,KEB_00549,549,bombus griseocollis,r,7/26/2019,2,2,0.026,r,n,3.653325
1183,KEB_00562,562,bombus griseocollis,r,7/26/2019,1,1,0.026,l,y,3.599765
1184,KEB_00562,562,bombus griseocollis,r,7/26/2019,1,2,0.026,l,y,3.599765
1185,KEB_00562,562,bombus griseocollis,r,7/26/2019,2,1,0.026,r,n,3.599765
1186,KEB_00562,562,bombus griseocollis,r,7/26/2019,2,2,0.026,r,n,3.599765
1187,KEB_00563,563,bombus griseocollis,r,7/26/2019,1,1,0.026,l,y,3.243175
1188,KEB_00563,563,bombus griseocollis,r,7/26/2019,1,2,0.026,l,y,3.243175
1189,KEB_00563,563,bombus griseocollis,r,7/26/2019,2,1,0.026,r,n,3.243175
1190,KEB_00563,563,bombus griseocollis,r,7/26/2019,2,2,0.026,r,n,3.243175
1191,KEB_00580,580,bombus griseocollis,r,7/26/2019,1,1,0.026,l,y,3.16979
1192,KEB_00580,580,bombus griseocollis,r,7/26/2019,1,2,0.026,l,y,3.16979
1193,KEB_00580,580,bombus griseocollis,r,7/26/2019,2,1,0.026,r,n,3.16979
1194,KEB_00580,580,bombus griseocollis,r,7/26/2019,2,2,0.026,r,n,3.16979
1195,KEB_00582,582,bombus griseocollis,r,7/26/2019,1,1,0.026,l,y,3.8896
1196,KEB_00582,582,bombus griseocollis,r,7/26/2019,1,2,0.026,l,y,3.8896
1197,KEB_00582,582,bombus griseocollis,r,7/26/2019,2,1,0.026,r,y,3.8896
1198,KEB_00582,582,bombus griseocollis,r,7/26/2019,2,2,0.026,r,y,3.8896
1199,KEB_00614,614,bombus griseocollis,r,7/29/2019,1,1,0.026,l,y,4.088045
1200,KEB_00614,614,bombus griseocollis,r,7/29/2019,1,2,0.026,l,y,4.088045
1201,KEB_00614,614,bombus griseocollis,r,7/29/2019,2,1,0.026,r,n,4.088045
1202,KEB_00614,614,bombus griseocollis,r,7/29/2019,2,2,0.026,r,n,4.088045
1203,KEB_00680,680,bombus griseocollis,r,8/9/2019,1,1,0.026,l,y,3.67809
1204,KEB_00680,680,bombus griseocollis,r,8/9/2019,1,2,0.026,l,y,3.67809
1205,KEB_00680,680,bombus griseocollis,r,8/9/2019,2,1,0.026,r,n,3.67809
1206,KEB_00680,680,bombus griseocollis,r,8/9/2019,2,2,0.026,r,n,3.67809
1207,KEB_00695,695,bombus griseocollis,r,8/9/2019,1,1,0.026,l,y,3.74192
1208,KEB_00695,695,bombus griseocollis,r,8/9/2019,1,2,0.026,l,y,3.74192
1209,KEB_00695,695,bombus griseocollis,r,8/9/2019,2,1,0.026,r,n,3.74192
1210,KEB_00695,695,bombus griseocollis,r,8/9/2019,2,2,0.026,r,n,3.74192
1211,KEB_00696,696,bombus griseocollis,r,8/9/2019,1,1,0.026,l,y,4.03182
1212,KEB_00696,696,bombus griseocollis,r,8/9/2019,1,2,0.026,l,y,4.03182
1213,KEB_00696,696,bombus griseocollis,r,8/9/2019,2,1,0.026,r,n,4.03182
1214,KEB_00696,696,bombus griseocollis,r,8/9/2019,2,2,0.026,r,n,4.03182
1215,KEB_00715,715,bombus griseocollis,r,8/13/2019,1,1,0.026,l,y,3.83396
