"","Treatment","value","test","site"
"68","Prairie Strips",1.16666666666667,"Links per Species","sto"
"69","Prairie Strips",1,"Links per Species","who"
"70","Prairie Strips",1.07692307692308,"Links per Species","who"
"71","Prairie Strips",0.952380952380952,"Links per Species","gut"
"72","Prairie Strips",0.833333333333333,"Links per Species","gut"
"73","Prairie Strips",1.63157894736842,"Links per Species","sme"
"74","Prairie Strips",1.11764705882353,"Links per Species","sme"
"75","Prairie Strips",0.888888888888889,"Links per Species","smi"
"76","Prairie Strips",0.952380952380952,"Links per Species","smi"
"77","Prairie Strips",1.05263157894737,"Links per Species","sto"
"78","Prairie Strips",1.16666666666667,"Links per Species","sto"
"79","Prairie Strips",0.823529411764706,"Links per Species","who"
"80","Prairie Strips",1.17647058823529,"Links per Species","who"
"81","Prairie Strips",1.04761904761905,"Links per Species","gut"
"82","Prairie Strips",1.77777777777778,"Links per Species","gut"
"83","Prairie Strips",1.16666666666667,"Links per Species","sme"
"84","Prairie Strips",0.875,"Links per Species","sme"
"85","Prairie Strips",0.857142857142857,"Links per Species","smi"
"86","Prairie Strips",1.47058823529412,"Links per Species","smi"
"87","Prairie Strips",0.866666666666667,"Links per Species","sto"
"88","Prairie Strips",1,"Links per Species","sto"
"89","Prairie Strips",1.05882352941176,"Links per Species","who"
"90","Prairie Strips",1.14285714285714,"Links per Species","who"
"91","Prairie Strips",0.875,"Links per Species","gut"
"92","Prairie Strips",0.857142857142857,"Links per Species","gut"
"93","Prairie Strips",1.29411764705882,"Links per Species","sme"
"94","Prairie Strips",0.928571428571429,"Links per Species","sme"
"95","Prairie Strips",1.17647058823529,"Links per Species","smi"
"96","Prairie Strips",1.35294117647059,"Links per Species","smi"
"97","Prairie Strips",0.666666666666667,"Links per Species","sto"
"98","Prairie Strips",1.13333333333333,"Links per Species","sto"
"99","Prairie Strips",1.125,"Links per Species","who"
"100","Prairie Strips",1.07142857142857,"Links per Species","who"
"101","Prairie Strips",1.11764705882353,"Links per Species","gut"
"102","Prairie Strips",0.933333333333333,"Links per Species","gut"
"103","Prairie Strips",1.15789473684211,"Links per Species","sme"
"104","Prairie Strips",1.05882352941176,"Links per Species","sme"
"105","Prairie Strips",0.933333333333333,"Links per Species","smi"
"106","Prairie Strips",1.26315789473684,"Links per Species","smi"
"107","Prairie Strips",1,"Links per Species","sto"
"108","Prairie Strips",1,"Links per Species","sto"
"109","Prairie Strips",0.947368421052632,"Links per Species","who"
"110","Prairie Strips",1.0952380952381,"Links per Species","who"
"111","Prairie Strips",0.8,"Links per Species","gut"
"112","Prairie Strips",0.9375,"Links per Species","gut"
"113","Prairie Strips",0.941176470588235,"Links per Species","sme"
"114","Prairie Strips",1.52380952380952,"Links per Species","sme"
"115","Prairie Strips",1.07692307692308,"Links per Species","smi"
"116","Prairie Strips",1.4,"Links per Species","smi"
"117","Prairie Strips",1.0625,"Links per Species","sto"
"118","Prairie Strips",1.72222222222222,"Links per Species","sto"
"119","Prairie Strips",1.0625,"Links per Species","who"
"120","Prairie Strips",0.875,"Links per Species","who"
"121","Prairie Strips",0.7,"Links per Species","gut"
"122","Prairie Strips",1.0625,"Links per Species","gut"
"123","Prairie Strips",1.26315789473684,"Links per Species","sme"
"124","Prairie Strips",0.9375,"Links per Species","sme"
"125","Prairie Strips",0.769230769230769,"Links per Species","smi"
"126","Prairie Strips",1.125,"Links per Species","smi"
"127","Prairie Strips",1.23529411764706,"Links per Species","sto"
"128","Prairie Strips",1.31578947368421,"Links per Species","sto"
"129","Prairie Strips",1.05882352941176,"Links per Species","who"
"130","Prairie Strips",0.909090909090909,"Links per Species","who"
"131","Prairie Strips",0.947368421052632,"Links per Species","gut"
"132","Prairie Strips",1.52631578947368,"Links per Species","gut"
"133","Prairie Strips",0.875,"Links per Species","sme"
"134","Prairie Strips",0.882352941176471,"Links per Species","sme"
"135","Prairie Strips",1,"Links per Species","smi"
"136","Prairie Strips",1.05882352941176,"Links per Species","smi"
"137","Prairie Strips",1.5,"Links per Species","sto"
"138","Prairie Strips",1,"Links per Species","sto"
"139","Prairie Strips",0.9375,"Links per Species","who"
"140","Prairie Strips",0.764705882352941,"Links per Species","who"
"141","Prairie Strips",1,"Links per Species","gut"
"142","Prairie Strips",1.5,"Links per Species","gut"
"143","Prairie Strips",1.07692307692308,"Links per Species","sme"
"144","Prairie Strips",0.857142857142857,"Links per Species","sme"
"145","Prairie Strips",0.705882352941177,"Links per Species","smi"
"146","Prairie Strips",1.27777777777778,"Links per Species","smi"
"147","Prairie Strips",1.17647058823529,"Links per Species","sto"
"148","Prairie Strips",1.05555555555556,"Links per Species","sto"
"149","Prairie Strips",0.944444444444444,"Links per Species","who"
"150","Prairie Strips",1.11111111111111,"Links per Species","who"
"151","Prairie Strips",1.3,"Links per Species","gut"
"152","Prairie Strips",1.3,"Links per Species","gut"
"153","Prairie Strips",1.10526315789474,"Links per Species","sme"
"154","Prairie Strips",0.789473684210526,"Links per Species","sme"
"155","Prairie Strips",0.928571428571429,"Links per Species","smi"
"156","Prairie Strips",1.11764705882353,"Links per Species","smi"
"157","Prairie Strips",1,"Links per Species","sto"
"158","Prairie Strips",0.823529411764706,"Links per Species","sto"
"159","Prairie Strips",1.375,"Links per Species","who"
"160","Prairie Strips",1.13333333333333,"Links per Species","who"
"161","Prairie Strips",1.05,"Links per Species","gut"
"162","Prairie Strips",0.944444444444444,"Links per Species","gut"
"163","Prairie Strips",0.9375,"Links per Species","sme"
"164","Prairie Strips",1.05882352941176,"Links per Species","sme"
"165","Prairie Strips",0.944444444444444,"Links per Species","smi"
"166","Prairie Strips",1.14285714285714,"Links per Species","smi"
"167","Prairie Strips",1.14285714285714,"Links per Species","sto"
"168","Prairie Strips",1.2,"Links per Species","sto"
"169","Prairie Strips",1.22727272727273,"Links per Species","who"
"170","Prairie Strips",1.16666666666667,"Links per Species","who"
"171","Prairie Strips",1.11764705882353,"Links per Species","gut"
"172","Prairie Strips",1.42857142857143,"Links per Species","gut"
"173","Prairie Strips",1.25,"Links per Species","sme"
"174","Prairie Strips",0.947368421052632,"Links per Species","sme"
"175","Prairie Strips",1.05882352941176,"Links per Species","smi"
"176","Prairie Strips",0.714285714285714,"Links per Species","smi"
"177","Prairie Strips",1,"Links per Species","sto"
"178","Prairie Strips",0.888888888888889,"Links per Species","sto"
"179","Prairie Strips",1.76190476190476,"Links per Species","who"
"180","Prairie Strips",0.8125,"Links per Species","who"
"181","Prairie Strips",1.19047619047619,"Links per Species","gut"
"182","Prairie Strips",1.57142857142857,"Links per Species","gut"
"183","Prairie Strips",1,"Links per Species","sme"
"184","Prairie Strips",1,"Links per Species","sme"
"185","Prairie Strips",1.125,"Links per Species","smi"
"186","Prairie Strips",1.125,"Links per Species","smi"
"187","Prairie Strips",0.833333333333333,"Links per Species","sto"
"188","Prairie Strips",1.10526315789474,"Links per Species","sto"
"189","Prairie Strips",1.17647058823529,"Links per Species","who"
"190","Prairie Strips",1,"Links per Species","who"
"191","Prairie Strips",0.842105263157895,"Links per Species","gut"
"192","Prairie Strips",1.15384615384615,"Links per Species","gut"
"193","Prairie Strips",0.666666666666667,"Links per Species","sme"
"194","Prairie Strips",0.818181818181818,"Links per Species","sme"
"195","Prairie Strips",1.25,"Links per Species","smi"
"196","Prairie Strips",1.18181818181818,"Links per Species","smi"
"197","Prairie Strips",1,"Links per Species","sto"
"198","Prairie Strips",1.05555555555556,"Links per Species","sto"
"199","Prairie Strips",1.21052631578947,"Links per Species","who"
"200","Prairie Strips",1.1875,"Links per Species","who"
"201","Prairie Strips",0.888888888888889,"Links per Species","gut"
"202","Prairie Strips",1.07142857142857,"Links per Species","gut"
"203","Prairie Strips",1.33333333333333,"Links per Species","sme"
"204","Prairie Strips",0.944444444444444,"Links per Species","sme"
"205","Prairie Strips",0.833333333333333,"Links per Species","smi"
"206","Prairie Strips",0.947368421052632,"Links per Species","smi"
"207","Prairie Strips",1.2,"Links per Species","sto"
"208","Prairie Strips",1.15789473684211,"Links per Species","sto"
"209","Prairie Strips",1.11764705882353,"Links per Species","who"
"210","Prairie Strips",1.55,"Links per Species","who"
"211","Prairie Strips",0.833333333333333,"Links per Species","gut"
"212","Prairie Strips",0.875,"Links per Species","gut"
"213","Prairie Strips",0.75,"Links per Species","sme"
"214","Prairie Strips",1.10526315789474,"Links per Species","sme"
"215","Prairie Strips",0.846153846153846,"Links per Species","smi"
"216","Prairie Strips",1.2,"Links per Species","smi"
"217","Prairie Strips",1.15789473684211,"Links per Species","sto"
"218","Prairie Strips",1.0625,"Links per Species","sto"
"219","Prairie Strips",0.705882352941177,"Links per Species","who"
"220","Prairie Strips",0.916666666666667,"Links per Species","who"
"221","Prairie Strips",1.11764705882353,"Links per Species","gut"
"222","Prairie Strips",0.882352941176471,"Links per Species","gut"
"223","Prairie Strips",1.27777777777778,"Links per Species","sme"
"224","Prairie Strips",1,"Links per Species","sme"
"225","Prairie Strips",1.1,"Links per Species","smi"
"226","Prairie Strips",0.944444444444444,"Links per Species","smi"
"227","Prairie Strips",1.30769230769231,"Links per Species","sto"
"228","Prairie Strips",0.666666666666667,"Links per Species","sto"
"229","Prairie Strips",1.2,"Links per Species","who"
"230","Prairie Strips",1.2,"Links per Species","who"
"231","Prairie Strips",1.5,"Links per Species","gut"
"232","Prairie Strips",1.2,"Links per Species","gut"
"233","Prairie Strips",1,"Links per Species","sme"
"234","Prairie Strips",1.15789473684211,"Links per Species","sme"
"235","Prairie Strips",1.33333333333333,"Links per Species","smi"
"236","Prairie Strips",1.05263157894737,"Links per Species","smi"
"237","Prairie Strips",0.666666666666667,"Links per Species","sto"
"238","Prairie Strips",0.866666666666667,"Links per Species","sto"
"239","Prairie Strips",1.31818181818182,"Links per Species","who"
"240","Prairie Strips",0.882352941176471,"Links per Species","who"
"241","Prairie Strips",0.894736842105263,"Links per Species","gut"
"242","Prairie Strips",1,"Links per Species","gut"
"243","Prairie Strips",1.05555555555556,"Links per Species","sme"
"244","Prairie Strips",0.882352941176471,"Links per Species","sme"
"245","Prairie Strips",1.05882352941176,"Links per Species","smi"
"246","Prairie Strips",1.25,"Links per Species","smi"
"247","Prairie Strips",1.10526315789474,"Links per Species","sto"
"248","Prairie Strips",1,"Links per Species","sto"
"249","Prairie Strips",1.13333333333333,"Links per Species","who"
"250","Prairie Strips",1.21052631578947,"Links per Species","who"
"251","Prairie Strips",1.36842105263158,"Links per Species","gut"
"252","Prairie Strips",1.15789473684211,"Links per Species","gut"
"253","Prairie Strips",1.6,"Links per Species","sme"
"254","Prairie Strips",1.38888888888889,"Links per Species","sme"
"255","Prairie Strips",1,"Links per Species","smi"
"256","Prairie Strips",1.14285714285714,"Links per Species","smi"
"257","Prairie Strips",1,"Links per Species","sto"
"258","Prairie Strips",0.857142857142857,"Links per Species","sto"
"259","Prairie Strips",1.16666666666667,"Links per Species","who"
"260","Prairie Strips",1.16666666666667,"Links per Species","who"
"261","Prairie Strips",1.33333333333333,"Links per Species","gut"
"262","Prairie Strips",1,"Links per Species","gut"
"263","Prairie Strips",0.8125,"Links per Species","sme"
"264","Prairie Strips",0.923076923076923,"Links per Species","sme"
"265","Prairie Strips",1.33333333333333,"Links per Species","smi"
"266","Prairie Strips",1.05555555555556,"Links per Species","smi"
"267","Prairie Strips",1.05,"Links per Species","sto"
"268","Prairie Strips",1.27272727272727,"Links per Species","sto"
"269","Prairie Strips",0.692307692307692,"Links per Species","who"
"270","Prairie Strips",1.22222222222222,"Links per Species","who"
"271","Prairie Strips",1.0625,"Links per Species","gut"
"272","Prairie Strips",1.61904761904762,"Links per Species","gut"
"273","Prairie Strips",0.882352941176471,"Links per Species","sme"
"274","Prairie Strips",1.125,"Links per Species","sme"
"275","Prairie Strips",0.882352941176471,"Links per Species","smi"
"276","Prairie Strips",0.722222222222222,"Links per Species","smi"
"277","Prairie Strips",1.13333333333333,"Links per Species","sto"
"278","Prairie Strips",1.06666666666667,"Links per Species","sto"
"279","Prairie Strips",0.857142857142857,"Links per Species","who"
"280","Prairie Strips",1.1875,"Links per Species","who"
"281","Prairie Strips",1.58823529411765,"Links per Species","gut"
"282","Prairie Strips",1.05555555555556,"Links per Species","gut"
"283","Prairie Strips",1.35294117647059,"Links per Species","sme"
"284","Prairie Strips",1.28571428571429,"Links per Species","sme"
"285","Prairie Strips",1.11764705882353,"Links per Species","smi"
"286","Prairie Strips",1,"Links per Species","smi"
"287","Prairie Strips",1.10526315789474,"Links per Species","sto"
"288","Prairie Strips",1.05882352941176,"Links per Species","sto"
"289","Prairie Strips",1.29411764705882,"Links per Species","who"
"290","Prairie Strips",1.31578947368421,"Links per Species","who"
"291","Prairie Strips",1.2,"Links per Species","gut"
"292","Prairie Strips",1.15789473684211,"Links per Species","gut"
"293","Prairie Strips",1.27777777777778,"Links per Species","sme"
"294","Prairie Strips",1.06666666666667,"Links per Species","sme"
"295","Prairie Strips",1.5,"Links per Species","smi"
"296","Prairie Strips",1.33333333333333,"Links per Species","smi"
"297","Prairie Strips",1.11764705882353,"Links per Species","sto"
"298","Prairie Strips",1.25,"Links per Species","sto"
"299","Prairie Strips",0.904761904761905,"Links per Species","who"
"300","Prairie Strips",1.11764705882353,"Links per Species","who"
"301","Prairie Strips",1.05263157894737,"Links per Species","gut"
"302","Prairie Strips",0.857142857142857,"Links per Species","gut"
"303","Prairie Strips",0.714285714285714,"Links per Species","sme"
"304","Prairie Strips",0.95,"Links per Species","sme"
"305","Prairie Strips",1.18181818181818,"Links per Species","smi"
"306","Prairie Strips",1.08333333333333,"Links per Species","smi"
"307","Prairie Strips",1.42105263157895,"Links per Species","sto"
"308","Prairie Strips",1.2,"Links per Species","sto"
"309","Prairie Strips",1,"Links per Species","who"
"310","Prairie Strips",1.23529411764706,"Links per Species","who"
"311","Prairie Strips",0.947368421052632,"Links per Species","gut"
"312","Prairie Strips",1.3,"Links per Species","gut"
"313","Prairie Strips",0.875,"Links per Species","sme"
"314","Prairie Strips",1.6,"Links per Species","sme"
"315","Prairie Strips",1.26666666666667,"Links per Species","smi"
"316","Prairie Strips",1.29411764705882,"Links per Species","smi"
"317","Prairie Strips",1.41176470588235,"Links per Species","sto"
"318","Prairie Strips",1.45454545454545,"Links per Species","sto"
"319","Prairie Strips",1,"Links per Species","who"
"320","Prairie Strips",1.15789473684211,"Links per Species","who"
"321","Prairie Strips",1.33333333333333,"Links per Species","gut"
"322","Prairie Strips",0.764705882352941,"Links per Species","gut"
"323","Prairie Strips",0.833333333333333,"Links per Species","sme"
"324","Prairie Strips",1.11764705882353,"Links per Species","sme"
"325","Prairie Strips",0.944444444444444,"Links per Species","smi"
"326","Prairie Strips",1.35,"Links per Species","smi"
"327","Prairie Strips",1.23529411764706,"Links per Species","sto"
"328","Prairie Strips",1.26666666666667,"Links per Species","sto"
"329","Prairie Strips",1.65,"Links per Species","who"
"330","Prairie Strips",1.47058823529412,"Links per Species","who"
"331","Prairie Strips",1.17647058823529,"Links per Species","gut"
"332","Prairie Strips",1.17647058823529,"Links per Species","gut"
"333","Prairie Strips",0.8,"Links per Species","sme"
"334","Prairie Strips",0.909090909090909,"Links per Species","sme"
"335","Prairie Strips",0.833333333333333,"Links per Species","smi"
"336","Prairie Strips",0.888888888888889,"Links per Species","smi"
"337","Prairie Strips",1.0952380952381,"Links per Species","sto"
"338","Prairie Strips",0.666666666666667,"Links per Species","sto"
"339","Prairie Strips",1.14285714285714,"Links per Species","who"
"340","Prairie Strips",0.764705882352941,"Links per Species","who"
"341","Prairie Strips",1.28571428571429,"Links per Species","gut"
"342","Prairie Strips",1.04761904761905,"Links per Species","gut"
"343","Prairie Strips",0.8,"Links per Species","sme"
"344","Prairie Strips",0.8,"Links per Species","sme"
"345","Prairie Strips",1.27272727272727,"Links per Species","smi"
"346","Prairie Strips",1.23529411764706,"Links per Species","smi"
"347","Prairie Strips",1.47058823529412,"Links per Species","sto"
"348","Prairie Strips",0.928571428571429,"Links per Species","sto"
"349","Prairie Strips",1.1875,"Links per Species","who"
"350","Prairie Strips",1.06666666666667,"Links per Species","who"
"351","Prairie Strips",1.125,"Links per Species","gut"
"352","Prairie Strips",1.2,"Links per Species","gut"
"353","Prairie Strips",0.615384615384615,"Links per Species","sme"
"354","Prairie Strips",1.14285714285714,"Links per Species","sme"
"355","Prairie Strips",0.75,"Links per Species","smi"
"356","Prairie Strips",1.42105263157895,"Links per Species","smi"
"357","Prairie Strips",0.833333333333333,"Links per Species","sto"
"358","Prairie Strips",1.52941176470588,"Links per Species","sto"
"359","Prairie Strips",0.818181818181818,"Links per Species","who"
"360","Prairie Strips",1,"Links per Species","who"
"361","Prairie Strips",1.0625,"Links per Species","gut"
"362","Prairie Strips",1,"Links per Species","gut"
"363","Prairie Strips",0.8125,"Links per Species","sme"
"364","Prairie Strips",1.55,"Links per Species","sme"
"365","Prairie Strips",0.846153846153846,"Links per Species","smi"
"366","Prairie Strips",1,"Links per Species","smi"
"367","Prairie Strips",1.46666666666667,"Links per Species","sto"
"368","Prairie Strips",1,"Links per Species","sto"
"369","Prairie Strips",0.894736842105263,"Links per Species","who"
"370","Prairie Strips",0.714285714285714,"Links per Species","who"
"371","Prairie Strips",1.22727272727273,"Links per Species","gut"
"372","Prairie Strips",1.45454545454545,"Links per Species","gut"
"373","Prairie Strips",1.2,"Links per Species","sme"
"374","Prairie Strips",0.944444444444444,"Links per Species","sme"
"375","Prairie Strips",1.14285714285714,"Links per Species","smi"
"376","Prairie Strips",1.1875,"Links per Species","smi"
"377","Prairie Strips",1.35714285714286,"Links per Species","sto"
"378","Prairie Strips",1.26666666666667,"Links per Species","sto"
"379","Prairie Strips",1.11111111111111,"Links per Species","who"
"380","Prairie Strips",0.85,"Links per Species","who"
"381","Prairie Strips",0.692307692307692,"Links per Species","gut"
"382","Prairie Strips",1.05555555555556,"Links per Species","gut"
"383","Prairie Strips",0.875,"Links per Species","sme"
"384","Prairie Strips",1.31578947368421,"Links per Species","sme"
"385","Prairie Strips",0.9375,"Links per Species","smi"
"386","Prairie Strips",1.26666666666667,"Links per Species","smi"
"387","Prairie Strips",1.17647058823529,"Links per Species","sto"
"388","Prairie Strips",1.4,"Links per Species","sto"
"389","Prairie Strips",0.75,"Links per Species","who"
"390","Prairie Strips",1.4375,"Links per Species","who"
"391","Prairie Strips",0.928571428571429,"Links per Species","gut"
"392","Prairie Strips",0.888888888888889,"Links per Species","gut"
"393","Prairie Strips",0.833333333333333,"Links per Species","sme"
"394","Prairie Strips",1,"Links per Species","sme"
"395","Prairie Strips",1.16666666666667,"Links per Species","smi"
"396","Prairie Strips",1.05882352941176,"Links per Species","smi"
"397","Prairie Strips",0.8125,"Links per Species","sto"
"398","Prairie Strips",0.866666666666667,"Links per Species","sto"
"399","Prairie Strips",1.05263157894737,"Links per Species","who"
"400","Prairie Strips",1,"Links per Species","who"
"401","Prairie Strips",1.06666666666667,"Links per Species","gut"
"402","Prairie Strips",1.35294117647059,"Links per Species","gut"
"403","Prairie Strips",1.25,"Links per Species","sme"
"404","Prairie Strips",1.22222222222222,"Links per Species","sme"
"405","Prairie Strips",1.42105263157895,"Links per Species","smi"
"406","Prairie Strips",0.9375,"Links per Species","smi"
"407","Prairie Strips",0.944444444444444,"Links per Species","sto"
"408","Prairie Strips",1.23529411764706,"Links per Species","sto"
"409","Prairie Strips",1.36842105263158,"Links per Species","who"
"410","Prairie Strips",0.833333333333333,"Links per Species","who"
"411","Prairie Strips",1.15,"Links per Species","gut"
"412","Prairie Strips",1.1,"Links per Species","gut"
"413","Prairie Strips",0.933333333333333,"Links per Species","sme"
"414","Prairie Strips",1.05555555555556,"Links per Species","sme"
"415","Prairie Strips",1.16666666666667,"Links per Species","smi"
"416","Prairie Strips",1.13333333333333,"Links per Species","smi"
"417","Prairie Strips",1.1875,"Links per Species","sto"
"418","Prairie Strips",1.25,"Links per Species","sto"
"419","Prairie Strips",0.9,"Links per Species","who"
"420","Prairie Strips",0.857142857142857,"Links per Species","who"
"421","Prairie Strips",0.833333333333333,"Links per Species","gut"
"422","Prairie Strips",1,"Links per Species","gut"
"423","Prairie Strips",1,"Links per Species","sme"
"424","Prairie Strips",1.53333333333333,"Links per Species","sme"
"425","Prairie Strips",1.41176470588235,"Links per Species","smi"
"426","Prairie Strips",1.05,"Links per Species","smi"
"427","Prairie Strips",0.941176470588235,"Links per Species","sto"
"428","Prairie Strips",0.733333333333333,"Links per Species","sto"
"429","Prairie Strips",1.53846153846154,"Links per Species","who"
"430","Prairie Strips",1.38888888888889,"Links per Species","who"
"431","Prairie Strips",0.777777777777778,"Links per Species","gut"
"432","Prairie Strips",0.833333333333333,"Links per Species","gut"
"433","Prairie Strips",0.947368421052632,"Links per Species","sme"
"434","Prairie Strips",1.16666666666667,"Links per Species","sme"
"435","Prairie Strips",1.16666666666667,"Links per Species","smi"
"436","Prairie Strips",0.9,"Links per Species","smi"
"437","Prairie Strips",1.3,"Links per Species","sto"
"438","Prairie Strips",1.05,"Links per Species","sto"
"439","Prairie Strips",0.833333333333333,"Links per Species","who"
"440","Prairie Strips",1.05263157894737,"Links per Species","who"
"441","Prairie Strips",0.733333333333333,"Links per Species","gut"
"442","Prairie Strips",1.22222222222222,"Links per Species","gut"
"443","Prairie Strips",0.846153846153846,"Links per Species","sme"
"444","Prairie Strips",1.1,"Links per Species","sme"
"445","Prairie Strips",1.16666666666667,"Links per Species","smi"
"446","Prairie Strips",0.75,"Links per Species","smi"
"447","Prairie Strips",1.06666666666667,"Links per Species","sto"
"448","Prairie Strips",1.0625,"Links per Species","sto"
"449","Prairie Strips",1.5,"Links per Species","who"
"450","Prairie Strips",0.9375,"Links per Species","who"
"451","Prairie Strips",1,"Links per Species","gut"
"452","Prairie Strips",0.882352941176471,"Links per Species","gut"
"453","Prairie Strips",1.52631578947368,"Links per Species","sme"
"454","Prairie Strips",1.22222222222222,"Links per Species","sme"
"455","Prairie Strips",1.0625,"Links per Species","smi"
"456","Prairie Strips",0.9375,"Links per Species","smi"
"457","Prairie Strips",1.31578947368421,"Links per Species","sto"
"458","Prairie Strips",1.22222222222222,"Links per Species","sto"
"459","Prairie Strips",0.923076923076923,"Links per Species","who"
"460","Prairie Strips",1.0625,"Links per Species","who"
"461","Prairie Strips",1.0625,"Links per Species","gut"
"462","Prairie Strips",1.53333333333333,"Links per Species","gut"
"463","Prairie Strips",0.9375,"Links per Species","sme"
"464","Prairie Strips",0.9375,"Links per Species","sme"
"465","Prairie Strips",0.941176470588235,"Links per Species","smi"
"466","Prairie Strips",1.14285714285714,"Links per Species","smi"
"467","Prairie Strips",1.16666666666667,"Links per Species","sto"
"468","Prairie Strips",0.769230769230769,"Links per Species","sto"
"469","Prairie Strips",1,"Links per Species","who"
"470","Prairie Strips",1.26666666666667,"Links per Species","who"
"471","Prairie Strips",1.125,"Links per Species","gut"
"472","Prairie Strips",0.857142857142857,"Links per Species","gut"
"473","Prairie Strips",1.21052631578947,"Links per Species","sme"
"474","Prairie Strips",1,"Links per Species","sme"
"475","Prairie Strips",1.25,"Links per Species","smi"
"476","Prairie Strips",1.0625,"Links per Species","smi"
"477","Prairie Strips",0.941176470588235,"Links per Species","sto"
"478","Prairie Strips",1,"Links per Species","sto"
"479","Prairie Strips",0.95,"Links per Species","who"
"480","Prairie Strips",1.05882352941176,"Links per Species","who"
"481","Prairie Strips",1,"Links per Species","gut"
"482","Prairie Strips",1.10526315789474,"Links per Species","gut"
"483","Prairie Strips",0.909090909090909,"Links per Species","sme"
"484","Prairie Strips",1.38095238095238,"Links per Species","sme"
"485","Prairie Strips",0.933333333333333,"Links per Species","smi"
"486","Prairie Strips",0.666666666666667,"Links per Species","smi"
"487","Prairie Strips",0.941176470588235,"Links per Species","sto"
"488","Prairie Strips",0.866666666666667,"Links per Species","sto"
"489","Prairie Strips",1.23529411764706,"Links per Species","who"
"490","Prairie Strips",1.61111111111111,"Links per Species","who"
"491","Prairie Strips",1,"Links per Species","gut"
"492","Prairie Strips",0.833333333333333,"Links per Species","gut"
"493","Prairie Strips",1.07142857142857,"Links per Species","sme"
